"행정구역별","산업별",2024.1/2,2024.1/2,2024.2/2,2024.2/2
"서울 양천구","전기·운수·통신·금융(D,H,J,K)",48,-,44,-
"서울 양천구","사업·개인·공공서비스 및 기타(E,L~U)",90,-,97,-
"서울 강서구","계",314,-,307,-
"서울 강서구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 강서구","광·제조업(B,C)",24,-,21,-
"서울 강서구","건설업 (F) ",18,-,15,-
"서울 강서구","도소매·숙박음식업(G,I)",67,-,67,-
"서울 강서구","전기·운수·통신·금융(D,H,J,K)",73,-,73,-
"서울 강서구","사업·개인·공공서비스 및 기타(E,L~U)",132,-,132,-
"서울 구로구","계",227,-,228,-
"서울 구로구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 구로구","광·제조업(B,C)",25,-,26,-
"서울 구로구","건설업 (F) ",20,-,17,-
"서울 구로구","도소매·숙박음식업(G,I)",57,-,55,-
"서울 구로구","전기·운수·통신·금융(D,H,J,K)",41,-,40,-
"서울 구로구","사업·개인·공공서비스 및 기타(E,L~U)",84,-,91,-
"서울 금천구","계",139,-,141,-
"서울 금천구","농업, 임업 및 어업 (A)",0,*,0,*
"서울 금천구","광·제조업(B,C)",19,-,17,-
"서울 금천구","건설업 (F) ",12,-,15,-
"서울 금천구","도소매·숙박음식업(G,I)",30,-,31,-
"서울 금천구","전기·운수·통신·금융(D,H,J,K)",25,-,28,-
"서울 금천구","사업·개인·공공서비스 및 기타(E,L~U)",53,-,49,-
"서울 영등포구","계",239,-,237,-
"서울 영등포구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 영등포구","광·제조업(B,C)",18,-,19,-
"서울 영등포구","건설업 (F) ",15,-,15,-
"서울 영등포구","도소매·숙박음식업(G,I)",53,-,53,-
"서울 영등포구","전기·운수·통신·금융(D,H,J,K)",53,-,52,-
"서울 영등포구","사업·개인·공공서비스 및 기타(E,L~U)",102,-,99,-
"서울 동작구","계",212,-,213,-
"서울 동작구","농업, 임업 및 어업 (A)",0,*,-,-
"서울 동작구","광·제조업(B,C)",17,-,13,-
"서울 동작구","건설업 (F) ",12,-,13,-
"서울 동작구","도소매·숙박음식업(G,I)",47,-,48,-
"서울 동작구","전기·운수·통신·금융(D,H,J,K)",35,-,36,-
"서울 동작구","사업·개인·공공서비스 및 기타(E,L~U)",101,-,102,-
"서울 관악구","계",279,-,280,-
"서울 관악구","농업, 임업 및 어업 (A)",0,*,0,*
"서울 관악구","광·제조업(B,C)",20,-,20,-
"서울 관악구","건설업 (F) ",18,-,16,-
"서울 관악구","도소매·숙박음식업(G,I)",53,-,58,-
"서울 관악구","전기·운수·통신·금융(D,H,J,K)",60,-,60,-
"서울 관악구","사업·개인·공공서비스 및 기타(E,L~U)",129,-,125,-
"서울 서초구","계",201,-,199,-
"서울 서초구","농업, 임업 및 어업 (A)",-,-,0,*
"서울 서초구","광·제조업(B,C)",17,-,17,-
"서울 서초구","건설업 (F) ",9,-,8,-
"서울 서초구","도소매·숙박음식업(G,I)",42,-,40,-
"서울 서초구","전기·운수·통신·금융(D,H,J,K)",38,-,37,-
"서울 서초구","사업·개인·공공서비스 및 기타(E,L~U)",96,-,97,-
"서울 강남구","계",270,-,271,-
"서울 강남구","농업, 임업 및 어업 (A)",1,*,1,*
"서울 강남구","광·제조업(B,C)",19,-,20,-
"서울 강남구","건설업 (F) ",9,-,9,-
"서울 강남구","도소매·숙박음식업(G,I)",54,-,52,-
"서울 강남구","전기·운수·통신·금융(D,H,J,K)",52,-,49,-
"서울 강남구","사업·개인·공공서비스 및 기타(E,L~U)",135,-,140,-
"서울 송파구","계",345,-,338,-
"서울 송파구","농업, 임업 및 어업 (A)",-,-,-,-
"서울 송파구","광·제조업(B,C)",27,-,28,-
"서울 송파구","건설업 (F) ",15,-,15,-
"서울 송파구","도소매·숙박음식업(G,I)",78,-,77,-
"서울 송파구","전기·운수·통신·금융(D,H,J,K)",62,-,64,-
"서울 송파구","사업·개인·공공서비스 및 기타(E,L~U)",162,-,155,-
"서울 강동구","계",239,-,234,-
"서울 강동구","농업, 임업 및 어업 (A)",1,*,0,*
"서울 강동구","광·제조업(B,C)",22,-,24,-
"서울 강동구","건설업 (F) ",20,-,21,-
"서울 강동구","도소매·숙박음식업(G,I)",52,-,50,-
"서울 강동구","전기·운수·통신·금융(D,H,J,K)",42,-,40,-
"서울 강동구","사업·개인·공공서비스 및 기타(E,L~U)",103,-,99,-
"부산 중구","계",22,-,23,-
"부산 중구","농업, 임업 및 어업 (A)",0,*,0,*
"부산 중구","광·제조업(B,C)",2,-,2,-
"부산 중구","건설업 (F) ",1,-,1,-
"부산 중구","도소매·숙박음식업(G,I)",7,-,7,-
"부산 중구","전기·운수·통신·금융(D,H,J,K)",3,-,3,-
"부산 중구","사업·개인·공공서비스 및 기타(E,L~U)",9,-,9,-
"부산 서구","계",52,-,51,-
"부산 서구","농업, 임업 및 어업 (A)",0,*,0,*
"부산 서구","광·제조업(B,C)",7,-,6,-
"부산 서구","건설업 (F) ",3,-,2,-
"부산 서구","도소매·숙박음식업(G,I)",13,-,12,-
"부산 서구","전기·운수·통신·금융(D,H,J,K)",5,-,6,-
"부산 서구","사업·개인·공공서비스 및 기타(E,L~U)",24,-,24,-
"부산 동구","계",47,-,46,-
"부산 동구","농업, 임업 및 어업 (A)",0,*,0,*
"부산 동구","광·제조업(B,C)",4,-,4,-
"부산 동구","건설업 (F) ",3,-,3,-
"부산 동구","도소매·숙박음식업(G,I)",11,-,10,-
"부산 동구","전기·운수·통신·금융(D,H,J,K)",7,-,6,-
