"행정구역별","산업별",2024.1/2,2024.1/2,2024.2/2,2024.2/2
"대전 동구","도소매·숙박음식업(G,I)",28,-,28,-
"대전 동구","전기·운수·통신·금융(D,H,J,K)",13,-,12,-
"대전 동구","사업·개인·공공서비스 및 기타(E,L~U)",43,-,43,-
"대전 중구","계",115,-,115,-
"대전 중구","농업, 임업 및 어업 (A)",1,*,1,*
"대전 중구","광·제조업(B,C)",8,-,9,-
"대전 중구","건설업 (F) ",10,-,10,-
"대전 중구","도소매·숙박음식업(G,I)",24,-,25,-
"대전 중구","전기·운수·통신·금융(D,H,J,K)",15,-,15,-
"대전 중구","사업·개인·공공서비스 및 기타(E,L~U)",58,-,56,-
"대전 서구","계",255,-,249,-
"대전 서구","농업, 임업 및 어업 (A)",2,*,2,*
"대전 서구","광·제조업(B,C)",19,-,20,-
"대전 서구","건설업 (F) ",25,-,23,-
"대전 서구","도소매·숙박음식업(G,I)",55,-,52,-
"대전 서구","전기·운수·통신·금융(D,H,J,K)",27,-,28,-
"대전 서구","사업·개인·공공서비스 및 기타(E,L~U)",127,-,125,-
"대전 유성구","계",211,-,213,-
"대전 유성구","농업, 임업 및 어업 (A)",3,*,3,*
"대전 유성구","광·제조업(B,C)",24,-,28,-
"대전 유성구","건설업 (F) ",13,-,11,-
"대전 유성구","도소매·숙박음식업(G,I)",37,-,38,-
"대전 유성구","전기·운수·통신·금융(D,H,J,K)",19,-,18,-
"대전 유성구","사업·개인·공공서비스 및 기타(E,L~U)",115,-,116,-
"대전 대덕구","계",96,-,96,-
"대전 대덕구","농업, 임업 및 어업 (A)",1,*,1,*
"대전 대덕구","광·제조업(B,C)",17,-,17,-
"대전 대덕구","건설업 (F) ",9,-,8,-
"대전 대덕구","도소매·숙박음식업(G,I)",22,-,21,-
"대전 대덕구","전기·운수·통신·금융(D,H,J,K)",11,-,11,-
"대전 대덕구","사업·개인·공공서비스 및 기타(E,L~U)",36,-,38,-
"울산 중구","계",98,-,100,-
"울산 중구","농업, 임업 및 어업 (A)",1,*,1,*
"울산 중구","광·제조업(B,C)",28,-,29,-
"울산 중구","건설업 (F) ",7,-,8,-
"울산 중구","도소매·숙박음식업(G,I)",17,-,18,-
"울산 중구","전기·운수·통신·금융(D,H,J,K)",9,-,8,-
"울산 중구","사업·개인·공공서비스 및 기타(E,L~U)",38,-,37,-
"울산 남구","계",156,-,161,-
"울산 남구","농업, 임업 및 어업 (A)",-,-,0,*
"울산 남구","광·제조업(B,C)",40,-,43,-
"울산 남구","건설업 (F) ",14,-,16,-
"울산 남구","도소매·숙박음식업(G,I)",27,-,26,-
"울산 남구","전기·운수·통신·금융(D,H,J,K)",16,-,16,-
"울산 남구","사업·개인·공공서비스 및 기타(E,L~U)",59,-,61,-
"울산 동구","계",76,-,80,-
"울산 동구","농업, 임업 및 어업 (A)",0,*,0,*
"울산 동구","광·제조업(B,C)",32,-,33,-
"울산 동구","건설업 (F) ",7,-,6,-
"울산 동구","도소매·숙박음식업(G,I)",10,-,11,-
"울산 동구","전기·운수·통신·금융(D,H,J,K)",6,-,7,-
"울산 동구","사업·개인·공공서비스 및 기타(E,L~U)",21,-,23,-
"울산 북구","계",107,-,108,-
"울산 북구","농업, 임업 및 어업 (A)",0,*,0,*
"울산 북구","광·제조업(B,C)",46,-,46,-
"울산 북구","건설업 (F) ",5,-,5,-
"울산 북구","도소매·숙박음식업(G,I)",14,-,16,-
"울산 북구","전기·운수·통신·금융(D,H,J,K)",8,-,8,-
"울산 북구","사업·개인·공공서비스 및 기타(E,L~U)",34,-,32,-
"울산 울주군","계",117,-,118,-
"울산 울주군","농업, 임업 및 어업 (A)",6,*,6,*
"울산 울주군","광·제조업(B,C)",31,-,32,-
"울산 울주군","건설업 (F) ",13,-,13,-
"울산 울주군","도소매·숙박음식업(G,I)",17,-,17,-
"울산 울주군","전기·운수·통신·금융(D,H,J,K)",9,-,10,-
"울산 울주군","사업·개인·공공서비스 및 기타(E,L~U)",41,-,41,-
"수원시","계",660,-,674,-
"수원시","농업, 임업 및 어업 (A)",3,*,3,*
"수원시","광·제조업(B,C)",116,-,104,-
"수원시","건설업 (F) ",49,-,52,-
"수원시","도소매·숙박음식업(G,I)",114,-,115,-
"수원시","전기·운수·통신·금융(D,H,J,K)",83,-,76,-
"수원시","사업·개인·공공서비스 및 기타(E,L~U)",295,-,324,-
"성남시","계",480,-,475,-
"성남시","농업, 임업 및 어업 (A)",-,-,-,-
"성남시","광·제조업(B,C)",62,-,61,-
"성남시","건설업 (F) ",31,-,28,-
"성남시","도소매·숙박음식업(G,I)",90,-,92,-
"성남시","전기·운수·통신·금융(D,H,J,K)",87,-,91,-
"성남시","사업·개인·공공서비스 및 기타(E,L~U)",210,-,203,-
"의정부시","계",242,-,244,-
"의정부시","농업, 임업 및 어업 (A)",0,*,0,*
"의정부시","광·제조업(B,C)",23,-,22,-
"의정부시","건설업 (F) ",21,-,21,-
"의정부시","도소매·숙박음식업(G,I)",59,-,57,-
"의정부시","전기·운수·통신·금융(D,H,J,K)",35,-,34,-
"의정부시","사업·개인·공공서비스 및 기타(E,L~U)",105,-,109,-
"안양시","계",296,-,296,-
"안양시","농업, 임업 및 어업 (A)",0,*,0,*
"안양시","광·제조업(B,C)",37,-,37,-
"안양시","건설업 (F) ",20,-,19,-
"안양시","도소매·숙박음식업(G,I)",60,-,55,-
"안양시","전기·운수·통신·금융(D,H,J,K)",50,-,50,-
"안양시","사업·개인·공공서비스 및 기타(E,L~U)",128,-,135,-
"부천시","계",421,-,407,-
"부천시","농업, 임업 및 어업 (A)",1,*,0,*
"부천시","광·제조업(B,C)",74,-,68,-
"부천시","건설업 (F) ",39,-,37,-
"부천시","도소매·숙박음식업(G,I)",91,-,92,-
"부천시","전기·운수·통신·금융(D,H,J,K)",64,-,65,-
"부천시","사업·개인·공공서비스 및 기타(E,L~U)",152,-,144,-
"광명시","계",144,-,148,-
"광명시","농업, 임업 및 어업 (A)",0,*,0,*
"광명시","광·제조업(B,C)",20,-,20,-
"광명시","건설업 (F) ",12,-,11,-
"광명시","도소매·숙박음식업(G,I)",30,-,31,-
"광명시","전기·운수·통신·금융(D,H,J,K)",24,-,24,-
"광명시","사업·개인·공공서비스 및 기타(E,L~U)",59,-,61,-
"평택시","계",337,-,341,-
"평택시","농업, 임업 및 어업 (A)",10,*,11,*
"평택시","광·제조업(B,C)",96,-,96,-
"평택시","건설업 (F) ",47,-,42,-
"평택시","도소매·숙박음식업(G,I)",44,-,43,-
"평택시","전기·운수·통신·금융(D,H,J,K)",28,-,33,-
"평택시","사업·개인·공공서비스 및 기타(E,L~U)",112,-,116,-
"동두천시","계",47,-,46,-
"동두천시","농업, 임업 및 어업 (A)",0,*,0,*
"동두천시","광·제조업(B,C)",7,-,6,-
"동두천시","건설업 (F) ",4,-,4,-
"동두천시","도소매·숙박음식업(G,I)",10,-,9,-
"동두천시","전기·운수·통신·금융(D,H,J,K)",6,-,6,-
"동두천시","사업·개인·공공서비스 및 기타(E,L~U)",19,-,21,-
"안산시","계",371,-,373,-
"안산시","농업, 임업 및 어업 (A)",1,*,1,*
"안산시","광·제조업(B,C)",112,-,103,-
"안산시","건설업 (F) ",32,-,29,-
"안산시","도소매·숙박음식업(G,I)",64,-,72,-
"안산시","전기·운수·통신·금융(D,H,J,K)",39,-,40,-
"안산시","사업·개인·공공서비스 및 기타(E,L~U)",122,-,128,-
"고양시","계",549,-,559,-
"고양시","농업, 임업 및 어업 (A)",6,*,5,*
"고양시","광·제조업(B,C)",63,-,57,-
"고양시","건설업 (F) ",32,-,32,-
"고양시","도소매·숙박음식업(G,I)",126,-,121,-
"고양시","전기·운수·통신·금융(D,H,J,K)",96,-,106,-
"고양시","사업·개인·공공서비스 및 기타(E,L~U)",227,-,239,-
"과천시","계",39,-,40,-
"과천시","농업, 임업 및 어업 (A)",1,*,1,*
"과천시","광·제조업(B,C)",4,-,4,-
"과천시","건설업 (F) ",1,-,1,-
"과천시","도소매·숙박음식업(G,I)",6,-,6,-
"과천시","전기·운수·통신·금융(D,H,J,K)",7,-,7,-
"과천시","사업·개인·공공서비스 및 기타(E,L~U)",20,-,21,-
"구리시","계",101,-,102,-
"구리시","농업, 임업 및 어업 (A)",1,*,0,*
"구리시","광·제조업(B,C)",8,-,8,-
"구리시","건설업 (F) ",8,-,8,-
"구리시","도소매·숙박음식업(G,I)",23,-,22,-
"구리시","전기·운수·통신·금융(D,H,J,K)",16,-,15,-
"구리시","사업·개인·공공서비스 및 기타(E,L~U)",47,-,48,-
"남양주시","계",375,-,372,-
"남양주시","농업, 임업 및 어업 (A)",7,*,6,*
"남양주시","광·제조업(B,C)",45,-,46,-
"남양주시","건설업 (F) ",31,-,31,-
"남양주시","도소매·숙박음식업(G,I)",99,-,91,-
"남양주시","전기·운수·통신·금융(D,H,J,K)",52,-,57,-
"남양주시","사업·개인·공공서비스 및 기타(E,L~U)",141,-,142,-
"오산시","계",138,-,138,-
"오산시","농업, 임업 및 어업 (A)",0,*,0,*
"오산시","광·제조업(B,C)",38,-,38,-
"오산시","건설업 (F) ",13,-,12,-
"오산시","도소매·숙박음식업(G,I)",22,-,23,-
"오산시","전기·운수·통신·금융(D,H,J,K)",17,-,17,-
"오산시","사업·개인·공공서비스 및 기타(E,L~U)",49,-,49,-
"시흥시","계",310,-,306,-
"시흥시","농업, 임업 및 어업 (A)",1,*,1,*
"시흥시","광·제조업(B,C)",92,-,93,-
"시흥시","건설업 (F) ",30,-,30,-
"시흥시","도소매·숙박음식업(G,I)",59,-,56,-
"시흥시","전기·운수·통신·금융(D,H,J,K)",27,-,28,-
"시흥시","사업·개인·공공서비스 및 기타(E,L~U)",100,-,99,-
"군포시","계",140,-,141,-
"군포시","농업, 임업 및 어업 (A)",1,*,1,*
"군포시","광·제조업(B,C)",26,-,27,-
"군포시","건설업 (F) ",6,-,7,-
"군포시","도소매·숙박음식업(G,I)",28,-,27,-
"군포시","전기·운수·통신·금융(D,H,J,K)",21,-,23,-
"군포시","사업·개인·공공서비스 및 기타(E,L~U)",58,-,58,-
"의왕시","계",81,-,83,-
"의왕시","농업, 임업 및 어업 (A)",0,*,0,*
"의왕시","광·제조업(B,C)",11,-,12,-
"의왕시","건설업 (F) ",4,-,4,-
"의왕시","도소매·숙박음식업(G,I)",16,-,17,-
"의왕시","전기·운수·통신·금융(D,H,J,K)",12,-,12,-
"의왕시","사업·개인·공공서비스 및 기타(E,L~U)",37,-,38,-
"하남시","계",174,-,176,-
"하남시","농업, 임업 및 어업 (A)",1,*,0,*
"하남시","광·제조업(B,C)",14,-,14,-
"하남시","건설업 (F) ",14,-,13,-
"하남시","도소매·숙박음식업(G,I)",44,-,44,-
"하남시","전기·운수·통신·금융(D,H,J,K)",26,-,24,-
"하남시","사업·개인·공공서비스 및 기타(E,L~U)",76,-,80,-
"용인시","계",553,-,558,-
"용인시","농업, 임업 및 어업 (A)",9,*,9,*
"용인시","광·제조업(B,C)",85,-,83,-
"용인시","건설업 (F) ",41,-,37,-
"용인시","도소매·숙박음식업(G,I)",100,-,102,-
"용인시","전기·운수·통신·금융(D,H,J,K)",85,-,86,-
"용인시","사업·개인·공공서비스 및 기타(E,L~U)",233,-,241,-
"파주시","계",267,-,269,-
"파주시","농업, 임업 및 어업 (A)",8,*,8,*
"파주시","광·제조업(B,C)",59,-,51,-
"파주시","건설업 (F) ",17,-,20,-
"파주시","도소매·숙박음식업(G,I)",48,-,55,-
"파주시","전기·운수·통신·금융(D,H,J,K)",34,-,34,-
"파주시","사업·개인·공공서비스 및 기타(E,L~U)",101,-,101,-
"이천시","계",134,-,130,-
"이천시","농업, 임업 및 어업 (A)",11,-,10,-
"이천시","광·제조업(B,C)",27,-,27,-
"이천시","건설업 (F) ",10,-,9,-
"이천시","도소매·숙박음식업(G,I)",20,-,20,-
"이천시","전기·운수·통신·금융(D,H,J,K)",18,-,18,-
"이천시","사업·개인·공공서비스 및 기타(E,L~U)",48,-,46,-
"안성시","계",122,-,123,-
"안성시","농업, 임업 및 어업 (A)",8,*,8,*
"안성시","광·제조업(B,C)",34,-,37,-
"안성시","건설업 (F) ",6,-,5,-
"안성시","도소매·숙박음식업(G,I)",18,-,17,-
"안성시","전기·운수·통신·금융(D,H,J,K)",11,-,13,-
"안성시","사업·개인·공공서비스 및 기타(E,L~U)",45,-,44,-
"김포시","계",264,-,266,-
"김포시","농업, 임업 및 어업 (A)",3,*,3,*
"김포시","광·제조업(B,C)",53,-,51,-
"김포시","건설업 (F) ",16,-,17,-
"김포시","도소매·숙박음식업(G,I)",53,-,56,-
"김포시","전기·운수·통신·금융(D,H,J,K)",43,-,41,-
"김포시","사업·개인·공공서비스 및 기타(E,L~U)",97,-,99,-
"화성시","계",547,-,578,-
"화성시","농업, 임업 및 어업 (A)",11,*,13,*
"화성시","광·제조업(B,C)",167,-,171,-
"화성시","건설업 (F) ",43,-,50,-
"화성시","도소매·숙박음식업(G,I)",87,-,81,-
"화성시","전기·운수·통신·금융(D,H,J,K)",49,-,53,-
"화성시","사업·개인·공공서비스 및 기타(E,L~U)",190,-,211,-
"광주시","계",222,-,225,-
"광주시","농업, 임업 및 어업 (A)",1,*,1,*
"광주시","광·제조업(B,C)",45,-,48,-
"광주시","건설업 (F) ",20,-,20,-
"광주시","도소매·숙박음식업(G,I)",42,-,44,-
"광주시","전기·운수·통신·금융(D,H,J,K)",40,-,38,-
"광주시","사업·개인·공공서비스 및 기타(E,L~U)",74,-,74,-
"양주시","계",144,-,149,-
"양주시","농업, 임업 및 어업 (A)",4,*,3,*
"양주시","광·제조업(B,C)",27,-,27,-
"양주시","건설업 (F) ",14,-,13,-
"양주시","도소매·숙박음식업(G,I)",30,-,31,-
"양주시","전기·운수·통신·금융(D,H,J,K)",16,-,19,-
"양주시","사업·개인·공공서비스 및 기타(E,L~U)",54,-,56,-
"포천시","계",87,-,86,-
"포천시","농업, 임업 및 어업 (A)",7,-,6,*
"포천시","광·제조업(B,C)",22,-,23,-
"포천시","건설업 (F) ",7,-,8,-
"포천시","도소매·숙박음식업(G,I)",19,-,18,-
"포천시","전기·운수·통신·금융(D,H,J,K)",7,-,6,-
"포천시","사업·개인·공공서비스 및 기타(E,L~U)",26,-,26,-
"여주시","계",65,-,67,-
"여주시","농업, 임업 및 어업 (A)",10,-,10,-
"여주시","광·제조업(B,C)",8,-,9,-
"여주시","건설업 (F) ",6,-,5,-
"여주시","도소매·숙박음식업(G,I)",12,-,12,-
"여주시","전기·운수·통신·금융(D,H,J,K)",8,-,8,-
"여주시","사업·개인·공공서비스 및 기타(E,L~U)",22,-,24,-
"연천군","계",20,-,20,-
"연천군","농업, 임업 및 어업 (A)",5,-,5,-
"연천군","광·제조업(B,C)",2,-,2,-
"연천군","건설업 (F) ",2,-,2,-
"연천군","도소매·숙박음식업(G,I)",4,-,4,-
"연천군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"연천군","사업·개인·공공서비스 및 기타(E,L~U)",7,-,7,-
"가평군","계",33,-,33,-
"가평군","농업, 임업 및 어업 (A)",5,-,5,-
"가평군","광·제조업(B,C)",1,-,1,-
"가평군","건설업 (F) ",3,-,3,-
"가평군","도소매·숙박음식업(G,I)",11,-,11,-
"가평군","전기·운수·통신·금융(D,H,J,K)",2,-,2,-
"가평군","사업·개인·공공서비스 및 기타(E,L~U)",12,-,12,-
"양평군","계",63,-,65,-
"양평군","농업, 임업 및 어업 (A)",10,-,11,-
"양평군","광·제조업(B,C)",3,-,3,-
"양평군","건설업 (F) ",7,-,6,-
"양평군","도소매·숙박음식업(G,I)",15,-,15,-
"양평군","전기·운수·통신·금융(D,H,J,K)",5,-,5,-
"양평군","사업·개인·공공서비스 및 기타(E,L~U)",24,-,25,-
"춘천시","계",159,-,162,-
"춘천시","농업, 임업 및 어업 (A)",10,*,12,*
"춘천시","광·제조업(B,C)",8,-,9,-
"춘천시","건설업 (F) ",15,-,16,-
"춘천시","도소매·숙박음식업(G,I)",28,-,28,-
"춘천시","전기·운수·통신·금융(D,H,J,K)",15,-,14,-
"춘천시","사업·개인·공공서비스 및 기타(E,L~U)",83,-,83,-
"원주시","계",193,-,193,-
"원주시","농업, 임업 및 어업 (A)",11,*,11,*
"원주시","광·제조업(B,C)",26,-,24,-
"원주시","건설업 (F) ",18,-,18,-
"원주시","도소매·숙박음식업(G,I)",34,-,35,-
"원주시","전기·운수·통신·금융(D,H,J,K)",17,-,19,-
"원주시","사업·개인·공공서비스 및 기타(E,L~U)",87,-,87,-
"강릉시","계",117,-,116,-
"강릉시","농업, 임업 및 어업 (A)",8,-,8,-
"강릉시","광·제조업(B,C)",7,-,6,-
"강릉시","건설업 (F) ",10,-,10,-
"강릉시","도소매·숙박음식업(G,I)",30,-,30,-
"강릉시","전기·운수·통신·금융(D,H,J,K)",11,-,11,-
"강릉시","사업·개인·공공서비스 및 기타(E,L~U)",51,-,52,-
"동해시","계",47,-,46,-
"동해시","농업, 임업 및 어업 (A)",2,*,2,*
"동해시","광·제조업(B,C)",4,-,4,-
"동해시","건설업 (F) ",4,-,4,-
"동해시","도소매·숙박음식업(G,I)",9,-,9,-
"동해시","전기·운수·통신·금융(D,H,J,K)",3,-,3,-
"동해시","사업·개인·공공서비스 및 기타(E,L~U)",24,-,23,-
"태백시","계",23,-,22,-
"태백시","농업, 임업 및 어업 (A)",1,*,1,*
"태백시","광·제조업(B,C)",2,-,2,-
"태백시","건설업 (F) ",2,-,2,-
"태백시","도소매·숙박음식업(G,I)",4,-,4,-
"태백시","전기·운수·통신·금융(D,H,J,K)",2,-,2,-
"태백시","사업·개인·공공서비스 및 기타(E,L~U)",13,-,13,-
"속초시","계",42,-,43,-
"속초시","농업, 임업 및 어업 (A)",2,*,2,-
"속초시","광·제조업(B,C)",2,-,2,-
"속초시","건설업 (F) ",3,-,3,-
"속초시","도소매·숙박음식업(G,I)",13,-,12,-
"속초시","전기·운수·통신·금융(D,H,J,K)",3,-,4,-
"속초시","사업·개인·공공서비스 및 기타(E,L~U)",19,-,20,-
"삼척시","계",36,-,36,-
"삼척시","농업, 임업 및 어업 (A)",3,*,3,-
"삼척시","광·제조업(B,C)",4,-,4,-
"삼척시","건설업 (F) ",3,-,3,-
"삼척시","도소매·숙박음식업(G,I)",6,-,6,-
"삼척시","전기·운수·통신·금융(D,H,J,K)",2,-,2,-
"삼척시","사업·개인·공공서비스 및 기타(E,L~U)",18,-,17,-
"홍천군","계",41,-,42,-
"홍천군","농업, 임업 및 어업 (A)",12,-,12,-
"홍천군","광·제조업(B,C)",3,-,3,-
"홍천군","건설업 (F) ",3,-,3,-
"홍천군","도소매·숙박음식업(G,I)",8,-,8,-
"홍천군","전기·운수·통신·금융(D,H,J,K)",2,-,2,-
"홍천군","사업·개인·공공서비스 및 기타(E,L~U)",13,-,15,-
"횡성군","계",28,-,28,-
"횡성군","농업, 임업 및 어업 (A)",8,-,8,-
"횡성군","광·제조업(B,C)",2,-,2,-
"횡성군","건설업 (F) ",2,-,2,-
"횡성군","도소매·숙박음식업(G,I)",5,-,5,-
"횡성군","전기·운수·통신·금융(D,H,J,K)",2,-,1,-
"횡성군","사업·개인·공공서비스 및 기타(E,L~U)",9,-,10,-
"영월군","계",22,-,22,-
"영월군","농업, 임업 및 어업 (A)",5,-,6,-
"영월군","광·제조업(B,C)",1,-,1,-
"영월군","건설업 (F) ",1,-,1,-
"영월군","도소매·숙박음식업(G,I)",3,-,4,-
"영월군","전기·운수·통신·금융(D,H,J,K)",1,*,1,*
"영월군","사업·개인·공공서비스 및 기타(E,L~U)",10,-,10,-
"평창군","계",27,-,27,-
"평창군","농업, 임업 및 어업 (A)",9,-,9,-
"평창군","광·제조업(B,C)",1,-,1,-
"평창군","건설업 (F) ",2,-,2,-
"평창군","도소매·숙박음식업(G,I)",5,-,5,-
"평창군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"평창군","사업·개인·공공서비스 및 기타(E,L~U)",9,-,9,-
"정선군","계",21,-,22,-
"정선군","농업, 임업 및 어업 (A)",5,-,5,-
"정선군","광·제조업(B,C)",1,-,1,-
"정선군","건설업 (F) ",2,-,2,-
"정선군","도소매·숙박음식업(G,I)",4,-,4,-
"정선군","전기·운수·통신·금융(D,H,J,K)",1,*,1,-
"정선군","사업·개인·공공서비스 및 기타(E,L~U)",10,-,10,-
"철원군","계",21,-,21,-
"철원군","농업, 임업 및 어업 (A)",6,-,6,-
"철원군","광·제조업(B,C)",1,-,1,-
"철원군","건설업 (F) ",2,-,2,-
"철원군","도소매·숙박음식업(G,I)",4,-,3,-
"철원군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"철원군","사업·개인·공공서비스 및 기타(E,L~U)",8,-,8,-
"화천군","계",12,-,12,-
"화천군","농업, 임업 및 어업 (A)",3,-,3,-
"화천군","광·제조업(B,C)",0,*,0,*
"화천군","건설업 (F) ",1,-,1,-
"화천군","도소매·숙박음식업(G,I)",2,-,2,-
"화천군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"화천군","사업·개인·공공서비스 및 기타(E,L~U)",6,-,6,-
"양구군","계",11,-,11,-
"양구군","농업, 임업 및 어업 (A)",3,-,3,-
"양구군","광·제조업(B,C)",0,*,0,*
"양구군","건설업 (F) ",1,-,1,-
"양구군","도소매·숙박음식업(G,I)",2,-,2,-
"양구군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"양구군","사업·개인·공공서비스 및 기타(E,L~U)",5,-,5,-
"인제군","계",17,-,17,-
"인제군","농업, 임업 및 어업 (A)",4,-,4,-
"인제군","광·제조업(B,C)",1,-,1,-
"인제군","건설업 (F) ",1,-,1,-
"인제군","도소매·숙박음식업(G,I)",3,-,3,-
"인제군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"인제군","사업·개인·공공서비스 및 기타(E,L~U)",7,-,8,-
"고성군","계",18,-,18,-
"고성군","농업, 임업 및 어업 (A)",4,-,5,-
"고성군","광·제조업(B,C)",1,*,1,*
"고성군","건설업 (F) ",1,-,1,-
"고성군","도소매·숙박음식업(G,I)",4,-,4,-
"고성군","전기·운수·통신·금융(D,H,J,K)",0,*,0,*
"고성군","사업·개인·공공서비스 및 기타(E,L~U)",7,-,7,-
"양양군","계",17,-,16,-
"양양군","농업, 임업 및 어업 (A)",4,-,4,-
"양양군","광·제조업(B,C)",1,-,1,-
"양양군","건설업 (F) ",1,-,1,-
"양양군","도소매·숙박음식업(G,I)",4,-,3,-
"양양군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"양양군","사업·개인·공공서비스 및 기타(E,L~U)",7,-,6,-
"청주시","계",491,-,488,-
"청주시","농업, 임업 및 어업 (A)",16,*,16,*
"청주시","광·제조업(B,C)",126,-,118,-
"청주시","건설업 (F) ",42,-,42,-
"청주시","도소매·숙박음식업(G,I)",79,-,80,-
"청주시","전기·운수·통신·금융(D,H,J,K)",42,-,43,-
"청주시","사업·개인·공공서비스 및 기타(E,L~U)",187,-,190,-
"충주시","계",124,-,120,-
"충주시","농업, 임업 및 어업 (A)",15,-,16,-
"충주시","광·제조업(B,C)",25,-,24,-
"충주시","건설업 (F) ",9,-,9,-
"충주시","도소매·숙박음식업(G,I)",26,-,25,-
"충주시","전기·운수·통신·금융(D,H,J,K)",8,-,7,-
"충주시","사업·개인·공공서비스 및 기타(E,L~U)",40,-,40,-
"제천시","계",78,-,75,-
"제천시","농업, 임업 및 어업 (A)",12,-,12,-
"제천시","광·제조업(B,C)",12,-,12,-
"제천시","건설업 (F) ",5,-,5,-
"제천시","도소매·숙박음식업(G,I)",13,-,12,-
"제천시","전기·운수·통신·금융(D,H,J,K)",7,-,7,-
"제천시","사업·개인·공공서비스 및 기타(E,L~U)",28,-,28,-
"보은군","계",19,-,19,-
"보은군","농업, 임업 및 어업 (A)",8,-,8,-
"보은군","광·제조업(B,C)",2,-,2,-
"보은군","건설업 (F) ",1,-,1,-
"보은군","도소매·숙박음식업(G,I)",2,-,2,-
"보은군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"보은군","사업·개인·공공서비스 및 기타(E,L~U)",5,-,5,-
"옥천군","계",30,-,29,-
"옥천군","농업, 임업 및 어업 (A)",8,-,7,-
"옥천군","광·제조업(B,C)",4,-,4,-
"옥천군","건설업 (F) ",2,-,2,-
"옥천군","도소매·숙박음식업(G,I)",3,-,3,-
"옥천군","전기·운수·통신·금융(D,H,J,K)",2,-,2,-
"옥천군","사업·개인·공공서비스 및 기타(E,L~U)",11,-,10,-
"영동군","계",28,-,28,-
"영동군","농업, 임업 및 어업 (A)",12,-,11,-
"영동군","광·제조업(B,C)",3,-,3,-
"영동군","건설업 (F) ",1,-,1,-
"영동군","도소매·숙박음식업(G,I)",3,-,3,-
"영동군","전기·운수·통신·금융(D,H,J,K)",2,-,2,-
"영동군","사업·개인·공공서비스 및 기타(E,L~U)",8,-,7,-
"증평군","계",21,-,21,-
"증평군","농업, 임업 및 어업 (A)",2,*,2,*
"증평군","광·제조업(B,C)",5,-,5,-
"증평군","건설업 (F) ",2,-,2,-
"증평군","도소매·숙박음식업(G,I)",3,-,3,-
"증평군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"증평군","사업·개인·공공서비스 및 기타(E,L~U)",8,-,9,-
"진천군","계",60,-,60,-
"진천군","농업, 임업 및 어업 (A)",6,-,5,-
"진천군","광·제조업(B,C)",22,-,21,-
"진천군","건설업 (F) ",3,-,3,-
"진천군","도소매·숙박음식업(G,I)",7,-,7,-
"진천군","전기·운수·통신·금융(D,H,J,K)",5,-,5,-
"진천군","사업·개인·공공서비스 및 기타(E,L~U)",19,-,19,-
"괴산군","계",23,-,23,-
"괴산군","농업, 임업 및 어업 (A)",11,-,10,-
"괴산군","광·제조업(B,C)",2,-,2,-
"괴산군","건설업 (F) ",1,-,1,-
"괴산군","도소매·숙박음식업(G,I)",3,-,3,-
"괴산군","전기·운수·통신·금융(D,H,J,K)",1,*,1,-
"괴산군","사업·개인·공공서비스 및 기타(E,L~U)",6,-,6,-
"음성군","계",68,-,68,-
"음성군","농업, 임업 및 어업 (A)",13,-,13,-
"음성군","광·제조업(B,C)",21,-,22,-
"음성군","건설업 (F) ",4,-,4,-
"음성군","도소매·숙박음식업(G,I)",8,-,7,-
"음성군","전기·운수·통신·금융(D,H,J,K)",4,-,4,-
"음성군","사업·개인·공공서비스 및 기타(E,L~U)",18,-,19,-
"단양군","계",16,-,16,-
"단양군","농업, 임업 및 어업 (A)",5,-,5,-
"단양군","광·제조업(B,C)",1,-,1,-
"단양군","건설업 (F) ",1,-,1,-
"단양군","도소매·숙박음식업(G,I)",3,-,3,-
"단양군","전기·운수·통신·금융(D,H,J,K)",1,-,1,-
"단양군","사업·개인·공공서비스 및 기타(E,L~U)",6,-,6,-
"천안시","계",381,-,383,-
"천안시","농업, 임업 및 어업 (A)",15,*,15,*
"천안시","광·제조업(B,C)",111,-,114,-
"천안시","건설업 (F) ",26,-,20,-
"천안시","도소매·숙박음식업(G,I)",58,-,62,-
"천안시","전기·운수·통신·금융(D,H,J,K)",34,-,35,-
"천안시","사업·개인·공공서비스 및 기타(E,L~U)",138,-,137,-
"공주시","계",60,-,60,-
"공주시","농업, 임업 및 어업 (A)",14,-,14,-
"공주시","광·제조업(B,C)",7,-,8,-
"공주시","건설업 (F) ",4,-,3,-
"공주시","도소매·숙박음식업(G,I)",9,-,9,-
"공주시","전기·운수·통신·금융(D,H,J,K)",3,-,3,-
"공주시","사업·개인·공공서비스 및 기타(E,L~U)",22,-,22,-
"보령시","계",55,-,57,-
"보령시","농업, 임업 및 어업 (A)",11,-,12,-
"보령시","광·제조업(B,C)",6,-,6,-
"보령시","건설업 (F) ",5,-,5,-
"보령시","도소매·숙박음식업(G,I)",9,-,9,-
